1455,chicago,5/10/2016 9:21:00
1598,minneapolis,5/10/2016 9:34:00
4578,losAngeles,5/10/2016 9:46:00
1235,newYork,5/10/2016 9:59:00
4526,cleveland,5/10/2016 10:02:00
4568,stLouis,5/10/2016 10:12:00
1548,sanFrancisco,5/10/2016 10:19:00
1475,oakland,5/10/2016 10:25:00
9875,tampaBay,5/10/2016 10:36:00
3254,boston,5/10/2016 10:50:00
9547,losAngeles,5/10/2016 11:01:00
1245,losAngeles,5/10/2016 11:10:00
6358,lasVegas,5/10/2016 11:20:00
9654,chicago,5/10/2016 11:26:00
2587,nashville,5/10/2016 11:35:00
2356,dallas,5/10/2016 11:42:00
4568,minneapolis,5/10/2016 11:58:00
4957,newYork,5/10/2016 12:06:00
0123,kansasCity,5/10/2016 12:15:00
0548,washingoton,5/10/2016 12:22:00
3254,portland,5/10/2016 12:31:00
4587,seattle,5/10/2016 12:40:00
